0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.0,0.0,8.0,0.0,1.0,2.0,0.0,3.0,0.0,0.7,610.0,0.0,0.0,3.0
0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3.2,610.0,0.0,0.0,3.0
0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.7,1300.0,762.0,0.0,3.0
0.0,0.0,0.0,60.0,1.0,2.0,0.0,3.0,0.0,2.801,385.1,0.0,0.0,3.0
0.0,0.0,0.0,60.0,1.0,2.0,0.0,3.0,1.0,0.801,255.0,269.0,0.0,3.0
0.0,0.0,0.0,45.0,1.0,2.0,0.0,0.0,0.0,1.6,610.0,0.0,0.0,3.0
0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.699,610.0,4880.0,0.0,3.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3.3,152.0,0.0,0.0,3.0
0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.699,1320.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1320.0,762.0,0.0,3.0
0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.2,610.0,0.0,0.0,3.0
0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.3,1320.0,4880.0,0.0,3.0
0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.2,610.0,150.0,0.0,3.0
0.0,0.0,0.0,45.0,1.0,2.0,0.0,0.0,0.0,1.2,609.9,0.0,0.0,3.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.6,1220.0,761.0,0.0,3.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,4.0,1320.0,762.0,0.0,3.0
0.0,0.0,10.0,0.0,1.0,2.0,0.0,1.0,0.0,3.201,600.0,0.0,0.0,4.0
0.0,0.0,0.0,80.0,1.0,2.0,0.0,3.0,1.0,0.8,610.0,4170.0,0.0,4.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,3.2,1320.1,762.0,0.0,3.0
0.0,0.0,0.0,70.0,1.0,2.0,0.0,3.0,0.0,0.501,1200.1,0.0,0.0,3.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.6,610.0,761.0,0.0,3.0
0.0,1.0,55.0,0.0,1.0,2.0,0.0,1.0,0.0,0.8,610.0,0.0,0.0,3.0
0.0,0.0,0.0,85.0,1.0,2.0,0.0,3.0,0.0,1.001,50.0,0.0,0.0,4.0
0.0,4.0,70.0,0.0,1.0,2.0,0.0,1.0,0.0,3.2,609.9,0.0,0.0,3.0
0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.5,610.0,0.0,0.0,1.0
0.0,0.0,0.0,50.0,1.0,2.0,0.0,3.0,0.0,3.2,1320.0,0.0,0.0,3.0
0.0,0.0,0.0,60.0,1.0,2.0,0.0,3.0,1.0,0.8,356.0,4880.0,0.0,3.0
0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.7,609.9,4170.0,0.0,3.0
0.0,1.0,55.0,0.0,1.0,2.0,0.0,1.0,0.0,0.8,900.0,0.0,0.0,3.0
0.0,6.0,0.0,0.0,1.0,2.0,310.0,3.0,0.0,1.6,610.0,0.0,500.0,3.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.6,610.0,4880.0,0.0,5.0
0.0,0.0,0.0,45.0,1.0,2.0,0.0,1.0,1.0,1.4,1320.0,4170.0,0.0,3.0
0.0,0.0,0.0,45.0,1.0,2.0,0.0,0.0,1.0,0.699,1320.0,762.0,0.0,3.0
0.0,0.0,0.0,85.0,1.0,2.0,0.0,3.0,0.0,4.0,450.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.75,1320.0,4880.0,0.0,3.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.6,1220.0,0.0,0.0,5.0
